"filename", "language", "TypeScript", "JSON", "JavaScript", "JSON with Comments", "Markdown", "MS SQL", "XML", "TypeScript JSX", "PostCSS", "HTML", "comment", "blank", "total"
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 4, 23
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 5, 25
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\ui\menubar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 216, 0, 0, 0, 19, 235
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\ui\navigation-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 12, 129
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\ui\pagination.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 1, 11, 119
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\ui\popover.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 6, 30
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\ui\progress.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 1, 4, 28
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\ui\radio-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 1, 5, 44
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\ui\resizable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 6, 44
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\ui\scroll-area.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 1, 5, 48
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 145, 0, 0, 1, 14, 160
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\ui\separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 4, 30
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\ui\sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 116, 0, 0, 1, 16, 133
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\ui\sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 696, 0, 0, 13, 54, 763
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\ui\skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\ui\slider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 1, 4, 28
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\ui\sonner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 5, 30
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\ui\switch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 1, 4, 29
